Shooting and Scoring,,,,FG%,,2pt%,,3pt%,,FT%,,Assist,,2nd chance pts,,Fast break pts,,Points off TO,
,,FGA,FGM,Us,Them,Us,Them,Us,Them,Us,Them,Us,Them,Us,Them,Us,Them,Us ,Them
vs. Nyssa Nov 30,Loss,17,13,31,24,48,37,10,16,4,12,5,3,24,16,13,13,0,0
at Homedale Dec 06,Win,7,15,27,23,34,38,8,5,10,11,1,0,16,19,11,12,0,1
at Firth Dec 07,Loss,10,6,16,26,26,32,12,8,7,1,2,1,15,20,21,16,0,0
at South Fremont Dec 08,Win,10,14,23,17,33,31,9,9,7,5,4,1,17,12,15,14,0,0
at Parma Dec 11,Loss,15,11,18,14,33,25,11,9,2,5,4,1,20,14,13,10,0,0
at Ambrose Dec 14,Win,12,6,28,20,40,26,11,12,5,10,4,2,16,20,13,18,0,0
at Nyssa Dec 15,Loss,16,17,23,21,39,38,9,7,12,14,5,1,16,18,16,15,0,0
vs. Payette Dec 18,Win,19,8,19,18,38,26,26,7,11,6,6,4,20,38,13,9,0,0
at McCall Jan 04,Win,15,12,23,23,38,35,10,9,17,15,2,4,15,19,20,12,0,0
at Payette Jan 05,Win,21,15,22,16,43,31,18,8,12,8,5,4,14,26,15,8,0,0
at New Plymouth Jan 09,Win,17,13,25,18,42,31,10,8,12,6,3,0,16,18,19,17,0,1
vs. Melba Jan 12,Win,16,11,33,14,49,25,7,11,9,5,4,1,17,11,13,16,0,1
vs. Nampa Christian Jan 18,Win,19,16,24,20,43,36,12,8,9,9,4,7,13,17,12,14,0,0
at Marsing Jan 22,Loss,18,22,24,21,42,43,2,7,7,17,3,4,11,6,15,13,0,0
vs. McCall Jan 25,Win,18,18,14,16,32,34,7,4,10,5,6,7,10,14,16,15,0,0
vs. New Plymouth Jan 30,Loss,12,8,13,19,25,27,7,6,10,3,3,1,9,15,8,12,0,1
at Melba Feb 01,Win,15,18,31,16,46,34,7,13,3,1,8,2,21,15,17,17,0,0
at Nampa Christian Feb 06,Win,12,13,13,13,25,26,11,13,9,11,2,0,18,17,13,13,0,0
vs. Marsing Feb 08,Win,15,12,21,17,36,29,10,4,10,7,3,3,12,15,14,12,0,0
vs. Melba Feb 18,Win,9,11,20,17,29,28,9,6,11,7,5,2,15,15,11,12,0,0
at Marsing Feb 21,Win,8,7,23,19,31,26,7,9,6,12,8,3,10,8,15,13,0,0
vs. Bear Lake Feb 28,Win,13,3,21,19,34,22,9,5,4,8,2,2,11,13,16,21,0,1
